eye_x,eye_y,out_x,out_y,cal_win
31,12,664,244,2
30,11,663,229,2
31,13,683,75,2
31,12,683,114,2
31,11,664,174,2
31,13,664,103,2
31,13,664,135,2
22,13,332,138,1
22,13,323,103,1
22,13,332,138,1
22,13,315,125,1
32,10,665,87,2
22,13,323,165,1
22,13,332,104,1
22,10,323,99,1
22,14,307,47,1
22,14,315,58,1
22,13,323,96,1
22,10,315,198,1
32,11,665,54,2
23,9,369,71,1
23,13,359,99,1
23,10,359,99,1
33,9,738,111,2
23,13,359,99,1
31,13,664,32,2
31,13,664,36,2
32,13,665,56,2
32,13,665,87,2
33,9,738,68,2
23,10,359,95,1
23,10,369,71,1
32,14,665,57,2
23,13,359,65,1
23,10,359,87,1
31,10,664,-1,2
24,13,395,133,1
23,13,359,126,1
23,9,350,190,1
31,11,664,76,2
31,13,683,76,2
31,11,683,252,2
31,11,683,288,5
31,11,683,286,5
31,10,683,361,5
31,10,683,324,5
30,11,663,261,5
31,10,683,397,5
30,11,663,226,2
30,10,663,334,5
31,11,683,322,5
31,10,683,361,5
31,11,683,252,2
31,12,683,255,2
31,11,664,310,5
30,11,663,260,5
31,11,664,310,5
30,11,663,232,2
31,11,683,288,5
31,11,683,286,5
32,11,683,304,5
31,11,664,277,5
31,11,664,242,2
31,11,664,277,5
31,12,683,216,2
31,11,664,277,5
31,10,683,361,5
31,10,664,384,5
32,10,683,444,5
31,11,683,361,5
49,10,1260,500,6
47,10,1290,434,6
48,10,1292,452,6
49,10,1294,407,6
49,10,1329,455,6
50,10,1366,526,9
50,9,1356,502,6
50,10,1366,385,6
50,10,1366,381,6
50,10,1366,458,6
50,9,1366,490,6
49,10,1366,436,6
50,10,1366,455,6
49,10,1366,434,6
50,10,1366,459,6
50,10,1366,489,6
49,10,1329,385,6
50,9,1366,525,9
48,9,1328,542,9
49,10,1294,442,6
50,9,1366,527,9
49,9,1366,541,9
47,10,1290,431,6
50,10,1366,453,6
47,10,1255,453,6
30,10,663,334,5
30,10,683,272,5
30,11,663,302,5
30,11,683,240,2
31,11,683,255,2
31,11,664,311,5
31,10,683,325,5
30,11,663,187,2
31,11,683,322,5
30,11,663,226,2
30,11,663,226,2
31,11,683,252,2
30,10,683,272,5
22,10,351,297,4
30,11,663,226,2
31,11,683,255,2
30,11,663,261,5
30,11,663,261,5
31,11,683,253,2
31,11,683,289,5
30,11,663,266,5
31,11,683,250,2
30,11,663,226,2
30,11,683,234,2
30,10,683,346,5
15,10,75,325,4
14,10,37,360,4
14,10,36,420,4
14,11,36,313,4
14,10,35,372,4
13,8,0,740,7
14,11,35,371,4
12,9,-35,574,7
13,6,0,765,7
13,8,0,759,7
13,8,0,650,7
13,9,0,583,7
13,10,0,442,4
12,7,-36,765,7
13,9,0,635,7
13,9,0,566,7
12,7,-36,765,7
12,8,-37,686,7
13,8,0,739,7
15,9,75,502,4
20,11,258,313,4
31,11,664,313,5
31,12,683,182,2
31,11,683,291,5
32,10,683,372,5
31,11,664,313,5
30,11,663,229,2
32,11,683,302,5
31,10,664,308,5
31,11,664,315,5
31,11,683,249,2
31,11,683,286,5
31,11,683,289,5
31,11,683,212,2
32,11,683,266,5
31,11,683,252,2
31,11,664,277,5
31,11,683,216,2
31,11,683,250,2
31,11,664,277,5
31,11,664,315,5
31,11,683,216,2
31,11,664,242,2
31,11,664,280,5
31,11,683,216,2
31,11,664,275,5
31,11,664,242,2
31,11,664,282,5
31,12,664,208,2
31,11,664,206,2
31,11,683,216,2
32,12,683,197,2
32,11,683,267,5
31,11,664,243,2
31,11,683,250,2
30,9,663,482,5
30,9,683,572,8
29,8,662,627,8
29,8,683,604,8
28,7,660,702,8
29,8,683,567,8
29,7,683,720,8
28,8,660,583,8
29,8,683,684,8
28,8,660,663,8
28,7,660,702,8
29,8,683,606,8
29,8,683,645,8
29,7,683,684,8
28,8,660,661,8
28,7,660,742,8
28,7,660,703,8
28,8,660,623,8
28,8,660,660,8
28,7,683,682,8
28,7,660,663,8
28,8,683,641,8
29,7,662,741,8
30,9,663,556,8
30,10,663,408,5
31,11,683,289,5
32,12,683,199,2
31,12,664,173,2
32,12,683,164,2
32,13,683,127,2
32,12,665,190,2
32,13,683,129,2
23,12,369,99,1
24,12,385,155,1
24,12,385,193,1
32,13,683,59,2
